local_id,name,equipment,lift_manual_url
197,Side Sit-Ups,Bodyweight,https://liftmanual.com/dumbbell-straight-arm-twisting-sit-up/
198,Sit-Ups,Bodyweight,https://liftmanual.com/dumbbell-sit-up/
199,Skull Crushers,Dumbbells,https://liftmanual.com/dumbbell-lying-floor-skullcrusher/
200,Skull Crushers,EZ Curl Bar,https://liftmanual.com/barbell-lying-triceps-extension-skull-crusher/
201,Skull Crushers with Rope,Cable,
202,Spider Curls,Barbell,
203,Split Squats,Dumbbells,
204,Squats,Barbell,
205,Squats (Belt),Bodyweight,
206,Standing Calf Raises,Bodyweight,
207,Standing Calf Raises,Smith Machine,
208,Standing Leg Curls,Cable,
209,Standing Russian Twists,Cable,
210,Standing Shoulder Press,Barbell,
211,Standing Shoulder Press with Close Grip,Dumbbells,
212,Step-Ups,Dumbbells,
213,Sumo Deadlifts,Barbell,
233,Sumo Goblet Squats,Dumbbells,
214,T-Bar Reverse Lunges,Landmine,
229,T-Bar Rows with Narrow Grip,Landmine,
215,T-Bar Rows with Wide Grip,Landmine,
216,Triceps Kickbacks,Cable,
217,Triceps Kickbacks,Dumbbells,
218,Triceps Pushdowns,Cable,
219,Triceps Pushdowns (Vbar),Cable,
220,Triceps Pushdowns with Rope,Cable,
221,Twist Curls,Dumbbells,
222,Upright Rows,Dumbbells,
223,Upright Rows,EZ Curl Bar,
224,Walking Lunges,Dumbbells,
225,Y Raises,Cable,
226,Zercher Squats,Barbell,
